protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
DCF,50,0.02,2000,0.0138,0.9717,0.0283,6.9766,0.9725,0.0098,0.9767,0.0233,7.1791,0.9773,0.0040,0.8438,0.1562,0.9953,0.8649,0.0000,0.0000,0.0000
GDCF,50,0.0200,2000,0.0127,0.9416,0.0584,6.5583,0.9448,0.0094,0.9400,0.0600,6.7241,0.9434,0.0032,1.0000,0.0000,0.7729,1.0000,63.0000,884.0000,3.0000
TD3,50,0.0200,2000,0.0237,0.9448,0.0552,9.0265,0.9477,0.0095,0.9424,0.0576,9.9072,0.9456,0.0143,0.9637,0.0363,2.0628,0.9650,1023.0000,1024.0000,3.0000
DCF,50,0.0400,2000,0.0144,0.9082,0.0918,6.4807,0.9159,0.0091,0.9041,0.0959,6.7427,0.9125,0.0053,1.0000,0.0000,1.1558,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,2000,0.0169,0.9344,0.0656,6.3742,0.9384,0.0094,0.9363,0.0637,6.7244,0.9401,0.0075,0.9059,0.0941,1.1573,0.9140,63.0000,867.3200,3.0000
TD3,50,0.0400,2000,0.0189,0.9019,0.0981,8.7862,0.9107,0.0090,0.9008,0.0992,9.4908,0.9098,0.0099,0.9140,0.0860,1.0870,0.9208,1023.0000,1024.0000,3.0000
DCF,50,0.0600,2000,0.0135,0.9561,0.0439,7.0612,0.9580,0.0097,0.9645,0.0355,7.2578,0.9657,0.0038,0.7573,0.2427,1.1053,0.8047,0.0000,0.0000,0.0000
GDCF,50,0.0600,2000,0.0190,0.9503,0.0497,6.4370,0.9527,0.0095,0.9510,0.0490,6.8995,0.9533,0.0095,0.9417,0.0583,0.8818,0.9450,63.0000,900.6800,3.0000
TD3,50,0.0600,2000,0.0198,0.9389,0.0611,9.2868,0.9424,0.0095,0.9498,0.0502,9.9471,0.9522,0.0102,0.8327,0.1673,1.9357,0.8567,1023.0000,1024.0000,3.0000
DCF,50,0.0200,2001,0.0193,0.9626,0.0374,6.7527,0.9639,0.0096,0.9596,0.0404,7.2207,0.9612,0.0096,1.0000,0.0000,1.1677,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0200,2001,0.0194,0.9837,0.0163,6.5620,0.9840,0.0099,0.9824,0.0176,7.0120,0.9828,0.0095,1.0000,0.0000,1.0066,1.0000,63.0000,922.8400,3.0000
TD3,50,0.0200,2001,0.0126,0.9293,0.0707,9.9682,0.9340,0.0094,0.9388,0.0612,10.1888,0.9423,0.0032,0.6875,0.3125,2.2778,0.7619,1023.0000,1024.0000,3.0000
DCF,50,0.0400,2001,0.0181,0.9520,0.0480,6.8167,0.9542,0.0095,0.9486,0.0514,7.2327,0.9511,0.0086,1.0000,0.0000,1.3246,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,2001,0.0157,0.9693,0.0307,6.6888,0.9702,0.0097,0.9682,0.0318,6.9742,0.9691,0.0060,0.9919,0.0081,1.1399,0.9919,63.0000,905.6600,3.0000
TD3,50,0.0400,2001,0.0159,0.9551,0.0449,9.9053,0.9570,0.0096,0.9547,0.0453,10.2710,0.9567,0.0063,0.9627,0.0373,3.2735,0.9640,1023.0000,1024.0000,3.0000
DCF,50,0.0600,2001,0.0108,0.9102,0.0898,6.6020,0.9176,0.0091,0.9090,0.0910,6.6888,0.9166,0.0017,1.0000,0.0000,0.9175,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,2001,0.0210,0.9620,0.0380,6.5109,0.9634,0.0096,0.9596,0.0404,7.0561,0.9612,0.0114,0.9873,0.0127,1.0098,0.9874,63.0000,906.2400,3.0000
TD3,50,0.0600,2001,0.0173,0.9732,0.0268,9.7216,0.9739,0.0098,0.9743,0.0257,10.2392,0.9749,0.0075,0.9563,0.0437,1.6470,0.9581,1023.0000,1024.0000,3.0000
DCF,50,0.0200,2002,0.0123,0.9736,0.0264,7.0311,0.9743,0.0098,0.9731,0.0269,7.1661,0.9738,0.0025,1.0000,0.0000,0.7197,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0200,2002,0.0209,0.9519,0.0481,6.3242,0.9541,0.0095,0.9473,0.0527,6.8421,0.9500,0.0113,1.0000,0.0000,1.1435,1.0000,63.0000,884.0000,3.0000
TD3,50,0.0200,2002,0.0139,0.9594,0.0406,9.8619,0.9610,0.0096,0.9584,0.0416,10.1363,0.9600,0.0043,0.9888,0.0112,2.5413,0.9889,1023.0000,1024.0000,3.0000
DCF,50,0.0400,2002,0.0196,0.9481,0.0519,6.5057,0.9506,0.0095,0.9437,0.0563,7.0145,0.9467,0.0101,1.0000,0.0000,0.8222,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,2002,0.0215,0.9719,0.0281,6.4653,0.9727,0.0098,0.9755,0.0245,6.9800,0.9761,0.0117,0.9373,0.0627,1.3186,0.9410,63.0000,921.7600,3.0000
TD3,50,0.0400,2002,0.0182,0.9623,0.0377,9.5907,0.9637,0.0096,0.9596,0.0404,10.1448,0.9612,0.0086,1.0000,0.0000,2.1883,1.0000,1023.0000,1024.0000,3.0000
DCF,50,0.0600,2002,0.0227,0.9423,0.0577,6.4780,0.9454,0.0095,0.9424,0.0576,7.0925,0.9456,0.0132,0.9408,0.0592,1.2230,0.9441,0.0000,0.0000,0.0000
