protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
DCF,50,0.02,500,0.0134,0.9735,0.0265,7.1550,0.9742,0.0098,0.9743,0.0257,7.3304,0.9749,0.0036,0.9487,0.0513,1.4957,0.9512,0.0000,0.0000,0.0000
GDCF,50,0.0200,500,0.0180,0.9448,0.0552,6.5222,0.9477,0.0095,0.9424,0.0576,6.9422,0.9456,0.0085,0.9775,0.0225,0.9484,0.9780,0.0000,0.0000,0.0000
TD3,50,0.0200,500,0.0138,0.9645,0.0355,6.8631,0.9657,0.0097,0.9633,0.0367,7.0784,0.9646,0.0042,1.0000,0.0000,0.8873,1.0000,0.0000,0.0000,0.0000
DCF,50,0.0400,500,0.0173,0.9437,0.0563,6.5437,0.9467,0.0094,0.9400,0.0600,6.9441,0.9434,0.0078,1.0000,0.0000,0.7798,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,500,0.0189,0.9148,0.0852,6.3949,0.9215,0.0091,0.9098,0.0902,6.8711,0.9173,0.0097,0.9755,0.0245,1.0603,0.9761,0.0000,0.0000,0.0000
TD3,50,0.0400,500,0.0113,0.8727,0.1273,6.3370,0.8871,0.0088,0.8771,0.1229,6.4554,0.8906,0.0025,0.7183,0.2817,1.3482,0.7802,0.0000,0.0000,0.0000
DCF,50,0.0600,500,0.0182,0.9628,0.0372,6.7613,0.9641,0.0097,0.9633,0.0367,7.1983,0.9646,0.0085,0.9560,0.0440,0.8345,0.9579,0.0000,0.0000,0.0000
GDCF,50,0.0600,500,0.0191,0.9702,0.0298,6.9896,0.9710,0.0097,0.9706,0.0294,7.4635,0.9715,0.0093,0.9646,0.0354,1.0897,0.9659,0.0000,0.0000,0.0000
TD3,50,0.0600,500,0.0120,0.9506,0.0494,6.8105,0.9529,0.0096,0.9535,0.0465,6.9342,0.9555,0.0024,0.8333,0.1667,1.0321,0.8571,0.0000,0.0000,0.0000
DCF,50,0.0200,501,0.0166,0.9571,0.0429,6.7589,0.9588,0.0096,0.9608,0.0392,7.1102,0.9623,0.0070,0.8994,0.1006,0.9755,0.9086,0.0000,0.0000,0.0000
GDCF,50,0.0200,501,0.0128,0.9604,0.0396,6.8718,0.9619,0.0097,0.9645,0.0355,7.0405,0.9657,0.0031,0.8312,0.1688,0.6421,0.8556,0.0000,0.0000,0.0000
TD3,50,0.0200,501,0.0133,0.9798,0.0202,6.8882,0.9802,0.0098,0.9792,0.0208,7.0477,0.9796,0.0035,1.0000,0.0000,1.4963,1.0000,0.0000,0.0000,0.0000
DCF,50,0.0400,501,0.0142,0.9599,0.0401,6.8759,0.9614,0.0096,0.9584,0.0416,7.1147,0.9600,0.0045,1.0000,0.0000,0.8468,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,501,0.0168,0.9699,0.0301,6.9353,0.9708,0.0097,0.9682,0.0318,7.2938,0.9691,0.0071,1.0000,0.0000,1.0698,1.0000,0.0000,0.0000,0.0000
TD3,50,0.0400,501,0.0162,0.9433,0.0567,6.6114,0.9463,0.0095,0.9420,0.0580,6.9340,0.9452,0.0067,0.9648,0.0352,1.1761,0.9660,0.0000,0.0000,0.0000
DCF,50,0.0600,501,0.0175,0.9276,0.0724,6.5272,0.9325,0.0093,0.9245,0.0755,6.9419,0.9298,0.0082,0.9711,0.0289,0.9362,0.9719,0.0000,0.0000,0.0000
GDCF,50,0.0600,501,0.0137,0.9668,0.0332,7.0112,0.9679,0.0097,0.9657,0.0343,7.2217,0.9669,0.0040,1.0000,0.0000,0.9383,1.0000,0.0000,0.0000,0.0000
TD3,50,0.0600,501,0.0169,0.9923,0.0077,7.4331,0.9924,0.0100,0.9943,0.0057,7.6614,0.9943,0.0069,0.9592,0.0408,3.4879,0.9608,0.0000,0.0000,0.0000
