protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
GDCF,50,0.02,600,0.0148,0.9449,0.0551,6.6296,0.9478,0.0095,0.9424,0.0576,6.9040,0.9456,0.0053,1.0000,0.0000,0.8186,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0200,600,0.0125,0.9864,0.0136,7.0974,0.9866,0.0099,0.9861,0.0139,7.2403,0.9863,0.0026,1.0000,0.0000,0.7015,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,600,0.0127,0.9678,0.0322,7.0832,0.9688,0.0097,0.9706,0.0294,7.2436,0.9715,0.0029,0.8696,0.1304,0.7262,0.8846,15.0000,1023.0000,3.0000
DCF,50,0.0400,600,0.0136,0.9479,0.0521,6.6950,0.9505,0.0095,0.9461,0.0539,6.9059,0.9489,0.0041,1.0000,0.0000,0.8053,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,600,0.0124,0.9812,0.0188,7.2969,0.9816,0.0099,0.9816,0.0184,7.4301,0.9820,0.0026,0.9636,0.0364,1.2510,0.9649,15.0000,1023.0000,3.0000
DCF,50,0.0600,600,0.0195,0.9556,0.0444,6.7989,0.9574,0.0096,0.9527,0.0473,7.2972,0.9548,0.0099,0.9902,0.0098,1.0701,0.9903,0.0000,0.0000,0.0000
GDCF,50,0.0200,601,0.0111,0.9269,0.0731,6.6356,0.9319,0.0093,0.9278,0.0722,6.7270,0.9326,0.0018,0.8780,0.1220,0.8662,0.8913,15.0000,1023.0000,3.0000
DCF,50,0.0200,601,0.0136,0.9621,0.0379,6.9703,0.9635,0.0096,0.9608,0.0392,7.1731,0.9623,0.0040,1.0000,0.0000,1.0760,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,601,0.0165,0.9838,0.0162,6.9738,0.9840,0.0099,0.9829,0.0171,7.3089,0.9831,0.0066,1.0000,0.0000,0.9961,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0400,601,0.0152,0.9509,0.0491,6.6632,0.9532,0.0095,0.9486,0.0514,6.9594,0.9511,0.0057,1.0000,0.0000,0.7303,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,601,0.0225,0.9400,0.0600,6.3616,0.9434,0.0094,0.9335,0.0665,6.9967,0.9376,0.0131,1.0000,0.0000,0.9419,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0600,601,0.0170,0.9839,0.0161,6.7767,0.9841,0.0099,0.9849,0.0151,7.1191,0.9851,0.0071,0.9669,0.0331,1.1178,0.9679,0.0000,0.0000,0.0000
GDCF,50,0.0200,602,0.0160,0.9443,0.0557,6.6744,0.9472,0.0094,0.9412,0.0588,6.9980,0.9445,0.0066,1.0000,0.0000,1.1057,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0200,602,0.0162,0.9648,0.0352,6.8816,0.9660,0.0097,0.9633,0.0367,7.2072,0.9646,0.0065,0.9925,0.0075,1.1029,0.9926,0.0000,0.0000,0.0000
GDCF,50,0.0400,602,0.0115,0.9819,0.0181,7.0064,0.9822,0.0099,0.9816,0.0184,7.0953,0.9820,0.0016,1.0000,0.0000,0.5309,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0400,602,0.0145,0.9534,0.0466,6.7695,0.9555,0.0096,0.9535,0.0465,7.0248,0.9555,0.0049,0.9528,0.0472,0.8652,0.9550,0.0000,0.0000,0.0000
GDCF,50,0.0600,602,0.0136,0.9854,0.0146,7.2176,0.9856,0.0099,0.9849,0.0151,7.4249,0.9851,0.0038,1.0000,0.0000,0.7231,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0600,602,0.0156,0.9755,0.0245,7.0722,0.9761,0.0098,0.9743,0.0257,7.3719,0.9749,0.0059,1.0000,0.0000,1.1090,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0200,603,0.0181,0.9410,0.0590,6.5065,0.9443,0.0094,0.9367,0.0633,6.9421,0.9405,0.0087,1.0000,0.0000,0.8585,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0200,603,0.0118,0.9723,0.0277,7.1631,0.9730,0.0098,0.9718,0.0282,7.2710,0.9726,0.0020,1.0000,0.0000,0.8965,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,603,0.0197,0.9437,0.0563,6.6470,0.9467,0.0094,0.9404,0.0596,7.1433,0.9438,0.0102,0.9812,0.0188,1.1762,0.9816,15.0000,1023.0000,3.0000
DCF,50,0.0400,603,0.0191,0.8978,0.1022,6.2468,0.9072,0.0090,0.8935,0.1065,6.7226,0.9037,0.0102,0.9455,0.0545,1.2390,0.9483,0.0000,0.0000,0.0000
GDCF,50,0.0600,603,0.0191,0.9626,0.0374,6.7944,0.9639,0.0096,0.9596,0.0404,7.2684,0.9612,0.0095,1.0000,0.0000,1.0507,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0600,603,0.0149,0.9520,0.0480,6.7473,0.9542,0.0095,0.9498,0.0502,7.0211,0.9522,0.0054,1.0000,0.0000,0.9546,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0200,604,0.0162,0.9648,0.0352,6.8034,0.9660,0.0097,0.9633,0.0367,7.1142,0.9646,0.0065,0.9925,0.0075,1.2871,0.9926,15.0000,1023.0000,3.0000
DCF,50,0.0200,604,0.0157,0.9488,0.0512,6.6984,0.9513,0.0095,0.9461,0.0539,7.0084,0.9489,0.0062,1.0000,0.0000,0.9946,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,604,0.0105,0.9550,0.0450,6.9142,0.9570,0.0096,0.9547,0.0453,6.9611,0.9567,0.0009,1.0000,0.0000,1.1453,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0400,604,0.0170,0.9470,0.0530,6.6308,0.9497,0.0095,0.9437,0.0563,7.0055,0.9467,0.0076,1.0000,0.0000,1.0409,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,604,0.0139,0.9563,0.0437,6.8834,0.9581,0.0096,0.9547,0.0453,7.1057,0.9567,0.0044,1.0000,0.0000,1.0418,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0600,604,0.0101,0.9780,0.0220,6.9746,0.9785,0.0098,0.9780,0.0220,6.9882,0.9784,0.0002,1.0000,0.0000,0.4642,1.0000,0.0000,0.0000,0.0000
