node_id,x,y,is_ap
0,0.0,0.0,
1,5.0,0.0,
2,10.0,0.0,
3,15.0,0.0,
4,20.0,0.0,
5,25.0,0.0,
6,30.0,0.0,
7,35.0,0.0,
8,40.0,0.0,
9,45.0,0.0,
10,0.0,10.0,
11,5.0,10.0,
12,10.0,10.0,
13,15.0,10.0,
14,20.0,10.0,
15,25.0,10.0,
16,30.0,10.0,
17,35.0,10.0,
18,40.0,10.0,
19,45.0,10.0,
20,0.0,20.0,
21,5.0,20.0,
22,10.0,20.0,
23,15.0,20.0,
24,20.0,20.0,
25,25.0,20.0,
26,30.0,20.0,
27,35.0,20.0,
28,40.0,20.0,
29,45.0,20.0,
30,0.0,30.0,
31,5.0,30.0,
32,10.0,30.0,
33,15.0,30.0,
34,20.0,30.0,
35,25.0,30.0,
36,30.0,30.0,
37,35.0,30.0,
38,40.0,30.0,
39,45.0,30.0,
40,0.0,40.0,
41,5.0,40.0,
42,10.0,40.0,
43,15.0,40.0,
44,20.0,40.0,
45,25.0,40.0,
46,30.0,40.0,
47,35.0,40.0,
48,40.0,40.0,
49,45.0,40.0,
AP,22.5,20.0,True
