protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
DCF,50,0.02,1000,0.0105,0.9096,0.0904,6.6329,0.9171,0.0091,0.9086,0.0914,6.7053,0.9162,0.0014,1.0000,0.0000,0.8814,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0200,1000,0.0191,0.9339,0.0661,6.3380,0.9380,0.0094,0.9404,0.0596,6.7810,0.9438,0.0097,0.8646,0.1354,1.1837,0.8808,63.0000,873.2800,3.0000
TD3,50,0.0200,1000,0.0114,0.9139,0.0861,10.2653,0.9208,0.0092,0.9135,0.0865,10.3726,0.9204,0.0022,0.9375,0.0625,4.9308,0.9412,1023.0000,1023.0000,3.0000
DCF,50,0.0400,1000,0.0141,0.9155,0.0845,6.5563,0.9221,0.0093,0.9290,0.0710,6.7875,0.9337,0.0048,0.6853,0.3147,1.1864,0.7606,0.0000,0.0000,0.0000
GDCF,50,0.0400,1000,0.0122,0.9557,0.0443,6.7586,0.9576,0.0096,0.9547,0.0453,6.8962,0.9567,0.0026,1.0000,0.0000,0.7980,1.0000,63.0000,895.1200,3.0000
TD3,50,0.0400,1000,0.0140,0.9705,0.0295,10.1444,0.9714,0.0098,0.9731,0.0269,10.4197,0.9738,0.0042,0.9053,0.0947,2.5118,0.9135,1023.0000,1024.0000,3.0000
DCF,50,0.0600,1000,0.0135,0.9739,0.0261,6.6887,0.9746,0.0098,0.9739,0.0261,6.8812,0.9745,0.0038,0.9747,0.0253,0.7238,0.9753,0.0000,0.0000,0.0000
GDCF,50,0.0600,1000,0.0231,0.9579,0.0421,6.3813,0.9596,0.0096,0.9547,0.0453,6.9886,0.9567,0.0135,0.9857,0.0143,1.2347,0.9859,63.0000,895.1200,3.0000
TD3,50,0.0600,1000,0.0126,0.9594,0.0406,9.8985,0.9609,0.0096,0.9584,0.0416,10.1138,0.9600,0.0029,1.0000,0.0000,1.4735,1.0000,1023.0000,1024.0000,3.0000
DCF,50,0.0200,1001,0.0153,0.9655,0.0345,6.9554,0.9666,0.0097,0.9682,0.0318,7.2516,0.9691,0.0056,0.9127,0.0873,0.8472,0.9197,0.0000,0.0000,0.0000
GDCF,50,0.0200,1001,0.0159,0.9465,0.0535,6.4978,0.9492,0.0095,0.9437,0.0563,6.7959,0.9467,0.0064,1.0000,0.0000,1.2379,1.0000,63.0000,889.5600,3.0000
TD3,50,0.0200,1001,0.0221,0.9754,0.0246,9.9623,0.9760,0.0098,0.9804,0.0196,10.7361,0.9808,0.0122,0.9294,0.0706,2.5280,0.9340,1023.0000,1024.0000,3.0000
DCF,50,0.0400,1001,0.0178,0.9770,0.0230,7.0524,0.9776,0.0098,0.9755,0.0245,7.4691,0.9761,0.0080,1.0000,0.0000,0.9799,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,1001,0.0125,0.9486,0.0514,6.6883,0.9512,0.0095,0.9473,0.0527,6.8466,0.9500,0.0030,1.0000,0.0000,0.7596,1.0000,63.0000,895.1200,3.0000
TD3,50,0.0400,1001,0.0142,0.9717,0.0283,10.1237,0.9724,0.0097,0.9706,0.0294,10.4682,0.9715,0.0044,1.0000,0.0000,1.1199,1.0000,1023.0000,1024.0000,3.0000
DCF,50,0.0600,1001,0.0160,0.9495,0.0505,6.7329,0.9520,0.0096,0.9522,0.0478,7.0559,0.9544,0.0065,0.9041,0.0959,1.0239,0.9125,0.0000,0.0000,0.0000
GDCF,50,0.0600,1001,0.0124,0.9158,0.0842,6.4490,0.9223,0.0092,0.9184,0.0816,6.6022,0.9245,0.0032,0.8354,0.1646,1.2256,0.8587,63.0000,867.0800,3.0000
TD3,50,0.0600,1001,0.0217,0.9570,0.0430,9.7994,0.9588,0.0096,0.9531,0.0469,10.6350,0.9552,0.0122,0.9960,0.0040,1.9641,0.9960,1023.0000,1024.0000,3.0000
DCF,50,0.0200,1002,0.0168,0.9616,0.0384,6.9019,0.9630,0.0096,0.9608,0.0392,7.2667,0.9623,0.0072,0.9735,0.0265,1.0612,0.9742,0.0000,0.0000,0.0000
GDCF,50,0.0200,1002,0.0180,0.9573,0.0427,6.5076,0.9591,0.0096,0.9559,0.0441,6.9023,0.9578,0.0084,0.9773,0.0227,1.1334,0.9778,63.0000,900.6800,3.0000
TD3,50,0.0200,1002,0.0134,0.9415,0.0585,10.2844,0.9448,0.0095,0.9465,0.0535,10.5837,0.9492,0.0039,0.8163,0.1837,1.6077,0.8448,1023.0000,1024.0000,3.0000
DCF,50,0.0400,1002,0.0168,0.9642,0.0358,6.9223,0.9654,0.0097,0.9633,0.0367,7.2850,0.9646,0.0071,0.9797,0.0203,1.0200,0.9801,0.0000,0.0000,0.0000
GDCF,50,0.0400,1002,0.0177,0.9190,0.0810,6.2313,0.9251,0.0092,0.9155,0.0845,6.6151,0.9221,0.0086,0.9669,0.0331,1.3120,0.9679,63.0000,847.5600,3.0000
TD3,50,0.0400,1002,0.0165,0.9372,0.0628,9.8657,0.9409,0.0096,0.9522,0.0478,10.3759,0.9544,0.0070,0.7448,0.2552,1.5405,0.7967,1023.0000,1024.0000,3.0000
DCF,50,0.0600,1002,0.0135,0.9286,0.0714,6.7102,0.9334,0.0094,0.9318,0.0682,6.9217,0.9362,0.0041,0.8485,0.1515,0.9601,0.8684,0.0000,0.0000,0.0000
GDCF,50,0.0600,1002,0.0217,0.9555,0.0445,6.3997,0.9574,0.0095,0.9510,0.0490,6.9778,0.9533,0.0122,1.0000,0.0000,0.9901,1.0000,63.0000,900.6800,3.0000
TD3,50,0.0600,1002,0.0212,0.9291,0.0709,9.3684,0.9338,0.0094,0.9388,0.0612,10.0858,0.9423,0.0118,0.8456,0.1544,2.5220,0.8663,1023.0000,1024.0000,3.0000
DCF,50,0.0200,1003,0.0148,0.9714,0.0286,6.6819,0.9722,0.0097,0.9702,0.0298,6.9281,0.9711,0.0050,1.0000,0.0000,0.9988,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0200,1003,0.0187,0.9504,0.0496,6.3874,0.9527,0.0095,0.9465,0.0535,6.8165,0.9492,0.0092,1.0000,0.0000,1.1229,1.0000,63.0000,889.9600,3.0000
TD3,50,0.0200,1003,0.0158,0.9377,0.0623,9.8495,0.9413,0.0094,0.9351,0.0649,10.2764,0.9391,0.0064,0.9850,0.0150,2.3833,0.9852,1023.0000,1024.0000,3.0000
DCF,50,0.0400,1003,0.0179,0.9381,0.0619,6.6520,0.9417,0.0094,0.9376,0.0624,7.0282,0.9412,0.0085,0.9457,0.0543,1.6857,0.9485,0.0000,0.0000,0.0000
