protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
GDCF,50,0.02,800,0.0113,0.9706,0.0294,6.7468,0.9714,0.0097,0.9702,0.0298,6.8285,0.9711,0.0016,1.0000,0.0000,0.6768,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0200,800,0.0153,0.9409,0.0591,6.5966,0.9442,0.0094,0.9380,0.0620,6.8739,0.9416,0.0059,1.0000,0.0000,1.2873,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,800,0.0103,0.9273,0.0727,6.4249,0.9322,0.0093,0.9290,0.0710,6.4500,0.9337,0.0009,0.7600,0.2400,3.4197,0.8065,15.0000,1023.0000,3.0000
DCF,50,0.0400,800,0.0182,0.9726,0.0274,6.8006,0.9733,0.0097,0.9706,0.0294,7.2323,0.9715,0.0085,1.0000,0.0000,0.9016,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,800,0.0179,0.9820,0.0180,6.5839,0.9823,0.0098,0.9808,0.0192,6.9665,0.9812,0.0081,1.0000,0.0000,1.0121,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0600,800,0.0134,0.9459,0.0541,6.8827,0.9487,0.0095,0.9441,0.0559,7.0927,0.9470,0.0040,1.0000,0.0000,0.8849,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0200,801,0.0188,0.9523,0.0477,6.4630,0.9545,0.0095,0.9498,0.0502,6.9109,0.9522,0.0093,0.9845,0.0155,0.9777,0.9847,15.0000,1023.0000,3.0000
DCF,50,0.0200,801,0.0166,0.9711,0.0289,6.9644,0.9719,0.0097,0.9694,0.0306,7.3093,0.9703,0.0069,1.0000,0.0000,1.1547,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,801,0.0122,0.9398,0.0602,6.4308,0.9432,0.0095,0.9449,0.0551,6.5587,0.9478,0.0027,0.7671,0.2329,1.1421,0.8111,15.0000,1023.0000,3.0000
DCF,50,0.0400,801,0.0146,0.9495,0.0505,6.7828,0.9519,0.0095,0.9473,0.0527,7.0222,0.9500,0.0051,1.0000,0.0000,1.4917,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,801,0.0167,0.9559,0.0441,6.5206,0.9578,0.0096,0.9584,0.0416,6.8518,0.9600,0.0070,0.9172,0.0828,1.1203,0.9235,15.0000,1023.0000,3.0000
DCF,50,0.0600,801,0.0153,0.9537,0.0463,6.7800,0.9558,0.0096,0.9527,0.0473,7.0722,0.9548,0.0058,0.9752,0.0248,1.0016,0.9758,0.0000,0.0000,0.0000
GDCF,50,0.0200,802,0.0195,0.9253,0.0747,6.2234,0.9305,0.0094,0.9318,0.0682,6.6966,0.9362,0.0101,0.8589,0.1411,1.0045,0.8764,15.0000,1023.0000,3.0000
DCF,50,0.0200,802,0.0132,0.9483,0.0517,6.8435,0.9508,0.0095,0.9498,0.0502,7.0418,0.9522,0.0037,0.9048,0.0952,0.7719,0.9130,0.0000,0.0000,0.0000
GDCF,50,0.0400,802,0.0112,0.9855,0.0145,6.7969,0.9857,0.0099,0.9853,0.0147,6.8644,0.9855,0.0013,1.0000,0.0000,0.7632,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0400,802,0.0134,0.9223,0.0777,6.6021,0.9279,0.0092,0.9196,0.0804,6.8287,0.9256,0.0042,1.0000,0.0000,0.6670,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,802,0.0268,0.9711,0.0289,6.4876,0.9719,0.0097,0.9682,0.0318,7.2674,0.9691,0.0171,0.9915,0.0085,1.2031,0.9916,15.0000,1023.0000,3.0000
DCF,50,0.0600,802,0.0144,0.9340,0.0660,6.6075,0.9380,0.0094,0.9339,0.0661,6.8398,0.9380,0.0050,0.9358,0.0642,1.3954,0.9397,0.0000,0.0000,0.0000
GDCF,50,0.0200,803,0.0125,0.9852,0.0148,6.7571,0.9855,0.0099,0.9865,0.0135,6.8946,0.9867,0.0026,0.9310,0.0690,0.6057,0.9355,15.0000,1023.0000,3.0000
DCF,50,0.0200,803,0.0202,0.9430,0.0570,6.6249,0.9461,0.0096,0.9584,0.0416,7.1618,0.9600,0.0106,0.8030,0.1970,0.7890,0.8354,0.0000,0.0000,0.0000
GDCF,50,0.0400,803,0.0184,0.9411,0.0589,6.4683,0.9444,0.0095,0.9424,0.0576,6.8308,0.9456,0.0089,0.9242,0.0758,1.8944,0.9296,15.0000,1023.0000,3.0000
DCF,50,0.0400,803,0.0109,0.9258,0.0742,6.6714,0.9309,0.0093,0.9286,0.0714,6.7495,0.9333,0.0016,0.7619,0.2381,1.1175,0.8077,0.0000,0.0000,0.0000
GDCF,50,0.0600,803,0.0160,0.9472,0.0528,6.5327,0.9498,0.0095,0.9486,0.0514,6.8346,0.9511,0.0065,0.9231,0.0769,1.2169,0.9286,15.0000,1023.0000,3.0000
DCF,50,0.0600,803,0.0154,0.9607,0.0393,6.8455,0.9622,0.0096,0.9596,0.0404,7.1358,0.9612,0.0058,0.9833,0.0167,1.0614,0.9836,0.0000,0.0000,0.0000
GDCF,50,0.0200,804,0.0166,0.9361,0.0639,6.5347,0.9399,0.0095,0.9449,0.0551,6.8827,0.9478,0.0071,0.8156,0.1844,1.0156,0.8443,15.0000,1023.0000,3.0000
DCF,50,0.0200,804,0.0206,0.9630,0.0370,6.6263,0.9643,0.0096,0.9596,0.0404,7.1715,0.9612,0.0110,1.0000,0.0000,0.9295,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,804,0.0105,0.9660,0.0340,6.8125,0.9671,0.0097,0.9657,0.0343,6.8574,0.9669,0.0008,1.0000,0.0000,0.5595,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0400,804,0.0115,0.9871,0.0129,7.1145,0.9873,0.0099,0.9869,0.0131,7.1962,0.9871,0.0016,1.0000,0.0000,0.9466,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,804,0.0187,0.9594,0.0406,6.3372,0.9610,0.0096,0.9571,0.0429,6.7797,0.9589,0.0091,0.9894,0.0106,0.7573,0.9895,15.0000,1023.0000,3.0000
DCF,50,0.0600,804,0.0147,0.9871,0.0129,7.0198,0.9872,0.0099,0.9873,0.0127,7.2682,0.9875,0.0048,0.9802,0.0198,0.9500,0.9806,0.0000,0.0000,0.0000
