protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
GDCF,50,0.02,800,0.0113,0.9674,0.0326,6.9155,0.9684,0.0097,0.9669,0.0331,6.9986,0.9680,0.0016,1.0000,0.0000,0.7567,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0200,800,0.0153,0.9409,0.0591,6.5966,0.9442,0.0094,0.9380,0.0620,6.8739,0.9416,0.0059,1.0000,0.0000,1.2873,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,800,0.0102,0.9269,0.0731,6.7119,0.9319,0.0093,0.9290,0.0710,6.7290,0.9337,0.0009,0.7200,0.2800,4.5491,0.7812,15.0000,1023.0000,3.0000
DCF,50,0.0400,800,0.0182,0.9726,0.0274,6.8006,0.9733,0.0097,0.9706,0.0294,7.2323,0.9715,0.0085,1.0000,0.0000,0.9016,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,800,0.0175,0.9702,0.0298,6.6227,0.9710,0.0097,0.9710,0.0290,6.9965,0.9718,0.0077,0.9576,0.0424,0.9934,0.9593,15.0000,1023.0000,3.0000
DCF,50,0.0600,800,0.0134,0.9459,0.0541,6.8827,0.9487,0.0095,0.9441,0.0559,7.0927,0.9470,0.0040,1.0000,0.0000,0.8849,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0200,801,0.0188,0.9523,0.0477,6.6922,0.9545,0.0095,0.9498,0.0502,7.1541,0.9522,0.0093,0.9845,0.0155,1.0341,0.9847,15.0000,1023.0000,3.0000
DCF,50,0.0200,801,0.0166,0.9711,0.0289,6.9644,0.9719,0.0097,0.9694,0.0306,7.3093,0.9703,0.0069,1.0000,0.0000,1.1547,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,801,0.0121,0.9267,0.0733,6.6467,0.9317,0.0093,0.9310,0.0690,6.7883,0.9355,0.0028,0.7808,0.2192,0.9838,0.8202,15.0000,1023.0000,3.0000
DCF,50,0.0400,801,0.0146,0.9495,0.0505,6.7828,0.9519,0.0095,0.9473,0.0527,7.0222,0.9500,0.0051,1.0000,0.0000,1.4917,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,801,0.0167,0.9563,0.0437,6.7290,0.9581,0.0096,0.9584,0.0416,7.0120,0.9600,0.0071,0.9236,0.0764,2.1468,0.9290,15.0000,1023.0000,3.0000
DCF,50,0.0600,801,0.0153,0.9537,0.0463,6.7800,0.9558,0.0096,0.9527,0.0473,7.0722,0.9548,0.0058,0.9752,0.0248,1.0016,0.9758,0.0000,0.0000,0.0000
GDCF,50,0.0200,802,0.0195,0.9253,0.0747,6.3869,0.9305,0.0094,0.9318,0.0682,6.8700,0.9362,0.0101,0.8589,0.1411,1.0579,0.8764,15.0000,1023.0000,3.0000
DCF,50,0.0200,802,0.0132,0.9483,0.0517,6.8435,0.9508,0.0095,0.9498,0.0502,7.0418,0.9522,0.0037,0.9048,0.0952,0.7719,0.9130,0.0000,0.0000,0.0000
GDCF,50,0.0400,802,0.0112,0.9871,0.0129,7.0076,0.9872,0.0099,0.9869,0.0131,7.0729,0.9871,0.0013,1.0000,0.0000,1.1639,1.0000,15.0000,1023.0000,3.0000
