protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn,avg_cw_min_vo,avg_cw_max_vo,avg_cw_min_be,avg_cw_max_be
DCF,50,0.2,1,0.0232,0.9929,0.0071,6.3969,0.9930,0.0123,0.9934,0.0066,6.8090,0.9934,0.0109,0.9867,0.0133,0.8590,0.9869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GDCF,50,0.2000,1,0.0215,0.9914,0.0086,6.1410,0.9914,0.0122,0.9908,0.0092,6.4653,0.9909,0.0092,1.0000,0.0000,1.0077,1.0000,15.0000,1023.0000,3.0000,0.0000,0.0000,15.0000,1023.0000
GDCF_ORIG,50,0.2000,1,0.0243,0.9965,0.0035,6.4331,0.9965,0.0123,0.9962,0.0038,6.8805,0.9962,0.0120,1.0000,0.0000,0.9335,1.0000,15.0000,1023.0000,3.0000,0.0000,0.0000,15.0000,1023.0000
TD3,50,0.2000,1,0.0240,1.0000,0.0000,8.2126,1.0000,0.0124,1.0000,0.0000,8.7477,1.0000,0.0116,1.0000,0.0000,1.4066,1.0000,511.0000,1023.0000,3.0000,127.0000,255.0000,511.0000,1023.0000
HEURISTIC_EDCA,50,0.2000,1,0.0238,0.9965,0.0035,6.4157,0.9965,0.0123,0.9965,0.0035,6.8339,0.9965,0.0114,0.9965,0.0035,1.0435,0.9965,15.0000,31.0000,3.0000,63.0000,127.0000,15.0000,31.0000
DCF,50,0.2000,2,0.0140,0.9879,0.0121,6.5921,0.9881,0.0122,0.9878,0.0122,6.6585,0.9879,0.0018,1.0000,0.0000,1.0715,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GDCF,50,0.2000,2,0.0143,0.9977,0.0023,6.3255,0.9977,0.0123,0.9977,0.0023,6.3971,0.9977,0.0020,1.0000,0.0000,0.9977,1.0000,15.0000,1023.0000,3.0000,0.0000,0.0000,15.0000,1023.0000
GDCF_ORIG,50,0.2000,2,0.0146,0.9923,0.0077,6.5905,0.9924,0.0123,0.9922,0.0078,6.6790,0.9923,0.0024,1.0000,0.0000,1.1491,1.0000,15.0000,1023.0000,3.0000,0.0000,0.0000,15.0000,1023.0000
TD3,50,0.2000,2,0.0134,1.0000,0.0000,8.5348,1.0000,0.0124,1.0000,0.0000,8.5852,1.0000,0.0011,1.0000,0.0000,1.6694,1.0000,511.0000,1023.0000,3.0000,127.0000,255.0000,511.0000,1023.0000
HEURISTIC_EDCA,50,0.2000,2,0.0140,0.9922,0.0078,6.5952,0.9923,0.0123,0.9921,0.0079,6.6625,0.9922,0.0018,1.0000,0.0000,1.0233,1.0000,15.0000,31.0000,3.0000,63.0000,127.0000,15.0000,31.0000
DCF,50,0.2000,3,0.0182,0.9945,0.0055,6.5139,0.9946,0.0123,0.9945,0.0055,6.7430,0.9946,0.0060,0.9946,0.0054,0.8713,0.9946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GDCF,50,0.2000,3,0.0171,0.9936,0.0064,6.2392,0.9936,0.0123,0.9934,0.0066,6.4163,0.9934,0.0048,1.0000,0.0000,0.8404,1.0000,15.0000,1023.0000,3.0000,0.0000,0.0000,15.0000,1023.0000
GDCF_ORIG,50,0.2000,3,0.0199,0.9960,0.0040,6.4926,0.9960,0.0123,0.9957,0.0043,6.7784,0.9958,0.0076,1.0000,0.0000,0.9653,1.0000,15.0000,1023.0000,3.0000,0.0000,0.0000,15.0000,1023.0000
TD3,50,0.2000,3,0.0179,1.0000,0.0000,8.3879,1.0000,0.0124,1.0000,0.0000,8.6562,1.0000,0.0056,1.0000,0.0000,1.3007,1.0000,511.0000,1023.0000,3.0000,127.0000,255.0000,511.0000,1023.0000
HEURISTIC_EDCA,50,0.2000,3,0.0160,0.9932,0.0068,6.5223,0.9933,0.0123,0.9930,0.0070,6.6666,0.9931,0.0037,1.0000,0.0000,0.8347,1.0000,15.0000,31.0000,3.0000,63.0000,127.0000,15.0000,31.0000
