protocol,num_nodes,offered_load,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness
DCF,50,0.01,0.0049,1.0000,0.0000,47.3941,1.0000
GDCF,50,0.0100,0.0049,1.0000,0.0000,46.0898,1.0000
TD3,50,0.0100,0.0048,0.9800,0.0200,44.8873,0.9804
DCF,50,0.0200,0.0094,0.9650,0.0350,30.4695,0.9662
GDCF,50,0.0200,0.0090,0.9250,0.0750,28.5648,0.9302
TD3,50,0.0200,0.0092,0.9400,0.0600,28.6313,0.9434
DCF,50,0.0400,0.0216,0.9822,0.0178,24.9637,0.9825
GDCF,50,0.0400,0.0217,0.9867,0.0133,25.0489,0.9868
TD3,50,0.0400,0.0212,0.9644,0.0356,24.2930,0.9657
DCF,50,0.0600,0.0320,0.9357,0.0643,20.8920,0.9396
GDCF,50,0.0600,0.0321,0.9371,0.0629,20.4093,0.9409
TD3,50,0.0600,0.0322,0.9414,0.0586,21.1310,0.9447
DCF,50,0.0800,0.0443,0.9526,0.0474,20.1975,0.9548
GDCF,50,0.0800,0.0429,0.9232,0.0768,20.3811,0.9286
TD3,50,0.0800,0.0423,0.9116,0.0884,19.7160,0.9188
DCF,100,0.0100,0.0028,0.5700,0.4300,51.4890,0.6993
GDCF,100,0.0100,0.0028,0.5800,0.4200,53.3220,0.7042
TD3,100,0.0100,0.0028,0.5700,0.4300,52.5301,0.6993
DCF,100,0.0200,0.0053,0.5400,0.4600,33.8422,0.6849
GDCF,100,0.0200,0.0049,0.5000,0.5000,30.1244,0.6667
TD3,100,0.0200,0.0052,0.5325,0.4675,33.5731,0.6814
DCF,100,0.0400,0.0114,0.5200,0.4800,25.8878,0.6757
GDCF,100,0.0400,0.0119,0.5422,0.4578,27.5040,0.6860
TD3,100,0.0400,0.0114,0.5200,0.4800,25.5820,0.6757
DCF,100,0.0600,0.0174,0.5086,0.4914,22.9887,0.6705
GDCF,100,0.0600,0.0177,0.5179,0.4821,22.8704,0.6747
TD3,100,0.0600,0.0172,0.5014,0.4986,23.1382,0.6673
DCF,100,0.0800,0.0242,0.5216,0.4784,22.8741,0.6764
GDCF,100,0.0800,0.0234,0.5032,0.4968,22.6188,0.6681
TD3,100,0.0800,0.0227,0.4889,0.5111,22.4430,0.6618
DCF,200,0.0100,0.0014,0.2800,0.7200,54.5646,0.5814
GDCF,200,0.0100,0.0013,0.2725,0.7275,48.2891,0.5789
TD3,200,0.0100,0.0012,0.2550,0.7450,48.6062,0.5731
DCF,200,0.0200,0.0023,0.2350,0.7650,30.7805,0.5666
GDCF,200,0.0200,0.0024,0.2462,0.7538,29.4999,0.5702
TD3,200,0.0200,0.0025,0.2537,0.7462,31.5363,0.5727
DCF,200,0.0400,0.0062,0.2800,0.7200,27.6821,0.5814
GDCF,200,0.0400,0.0059,0.2667,0.7333,26.5694,0.5769
TD3,200,0.0400,0.0059,0.2678,0.7322,26.9766,0.5773
DCF,200,0.0600,0.0089,0.2596,0.7404,23.9186,0.5746
GDCF,200,0.0600,0.0093,0.2721,0.7279,24.5811,0.5788
TD3,200,0.0600,0.0091,0.2661,0.7339,24.1192,0.5767
DCF,200,0.0800,0.0121,0.2611,0.7389,23.6347,0.5751
GDCF,200,0.0800,0.0130,0.2808,0.7192,24.1666,0.5817
TD3,200,0.0800,0.0113,0.2437,0.7563,21.3787,0.5694
