protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness
DCF,50,0.02,1,0.0154,0.9792,0.0208,6.6002,0.9796,0.0112,0.9786,0.0214,6.7725,0.9790,0.0042,1.0000,0.0000,1.0469,1.0000
GDCF,50,0.0200,1,0.0195,0.9818,0.0182,6.4898,0.9822,0.0113,0.9823,0.0177,6.8229,0.9826,0.0083,0.9741,0.0259,1.0687,0.9747
TD3,50,0.0200,1,0.0157,0.9806,0.0194,6.6570,0.9810,0.0112,0.9802,0.0198,6.8389,0.9806,0.0044,0.9945,0.0055,1.1691,0.9946
DCF,50,0.0400,1,0.0149,0.9869,0.0131,6.7762,0.9871,0.0113,0.9866,0.0134,6.9281,0.9868,0.0036,1.0000,0.0000,1.0653,1.0000
GDCF,50,0.0400,1,0.0145,0.9751,0.0249,6.6740,0.9757,0.0112,0.9764,0.0236,6.8084,0.9770,0.0033,0.9241,0.0759,1.1895,0.9295
TD3,50,0.0400,1,0.0177,0.9826,0.0174,6.6786,0.9829,0.0113,0.9823,0.0177,6.9413,0.9826,0.0065,0.9888,0.0112,1.2240,0.9889
DCF,50,0.0200,2,0.0180,0.9832,0.0168,6.5825,0.9834,0.0113,0.9823,0.0177,6.8717,0.9826,0.0067,1.0000,0.0000,0.8186,1.0000
GDCF,50,0.0200,2,0.0217,0.9934,0.0066,6.5810,0.9934,0.0114,0.9929,0.0071,6.9975,0.9929,0.0103,1.0000,0.0000,1.0810,1.0000
TD3,50,0.0200,2,0.0171,0.9764,0.0236,6.5560,0.9769,0.0112,0.9754,0.0246,6.8039,0.9759,0.0059,1.0000,0.0000,0.9830,1.0000
DCF,50,0.0400,2,0.0158,0.9786,0.0214,6.5405,0.9791,0.0112,0.9791,0.0209,6.7314,0.9795,0.0046,0.9643,0.0357,1.0021,0.9655
GDCF,50,0.0400,2,0.0264,0.9846,0.0154,6.4979,0.9848,0.0113,0.9829,0.0171,7.1164,0.9831,0.0152,1.0000,0.0000,1.0076,1.0000
TD3,50,0.0400,2,0.0184,0.9804,0.0196,6.5670,0.9808,0.0113,0.9834,0.0166,6.8601,0.9837,0.0071,0.9265,0.0735,0.9993,0.9315
DCF,50,0.0200,3,0.0178,0.9605,0.0395,6.4211,0.9620,0.0110,0.9611,0.0389,6.6980,0.9625,0.0068,0.9488,0.0512,1.0615,0.9513
GDCF,50,0.0200,3,0.0160,0.9789,0.0211,6.6314,0.9794,0.0112,0.9782,0.0218,6.8284,0.9787,0.0047,1.0000,0.0000,1.0682,1.0000
TD3,50,0.0200,3,0.0204,0.9906,0.0094,6.5718,0.9907,0.0114,0.9916,0.0084,6.9296,0.9917,0.0090,0.9763,0.0237,1.2008,0.9768
DCF,50,0.0400,3,0.0170,0.9626,0.0374,6.5189,0.9639,0.0110,0.9621,0.0379,6.7686,0.9635,0.0060,0.9722,0.0278,1.0261,0.9730
GDCF,50,0.0400,3,0.0180,0.9675,0.0325,6.4873,0.9686,0.0111,0.9716,0.0284,6.7680,0.9724,0.0068,0.8946,0.1054,1.0339,0.9046
TD3,50,0.0400,3,0.0170,0.9817,0.0183,6.6395,0.9820,0.0113,0.9818,0.0182,6.8799,0.9821,0.0057,0.9791,0.0209,0.9917,0.9795
DCF,50,0.0200,4,0.0222,0.9733,0.0267,6.4289,0.9740,0.0112,0.9743,0.0257,6.8904,0.9749,0.0111,0.9618,0.0382,0.8707,0.9632
GDCF,50,0.0200,4,0.0225,0.9760,0.0240,6.4646,0.9765,0.0112,0.9764,0.0236,6.9180,0.9770,0.0113,0.9706,0.0294,1.0977,0.9714
TD3,50,0.0200,4,0.0233,0.9798,0.0202,6.4270,0.9802,0.0112,0.9782,0.0218,6.9070,0.9787,0.0121,0.9980,0.0020,1.1258,0.9980
DCF,50,0.0400,4,0.0172,0.9671,0.0329,6.4783,0.9682,0.0111,0.9695,0.0305,6.7322,0.9704,0.0061,0.9185,0.0815,0.9205,0.9247
GDCF,50,0.0400,4,0.0236,0.9783,0.0217,6.4445,0.9787,0.0112,0.9786,0.0214,6.9334,0.9790,0.0124,0.9750,0.0250,1.1706,0.9757
TD3,50,0.0400,4,0.0189,0.9840,0.0160,6.6676,0.9842,0.0113,0.9850,0.0150,6.9714,0.9852,0.0076,0.9656,0.0344,1.2435,0.9668
DCF,50,0.0200,5,0.0204,0.9773,0.0227,6.5327,0.9778,0.0112,0.9802,0.0198,6.9233,0.9806,0.0092,0.9377,0.0623,0.8304,0.9413
GDCF,50,0.0200,5,0.0217,0.9793,0.0207,6.4878,0.9797,0.0112,0.9780,0.0220,6.9057,0.9785,0.0105,0.9954,0.0046,1.1517,0.9954
TD3,50,0.0200,5,0.0269,0.9846,0.0154,6.4797,0.9849,0.0113,0.9855,0.0145,7.1312,0.9857,0.0156,0.9770,0.0230,0.8347,0.9775
DCF,50,0.0400,5,0.0124,0.9613,0.0387,6.5615,0.9627,0.0110,0.9609,0.0391,6.6233,0.9624,0.0014,1.0000,0.0000,0.6221,1.0000
GDCF,50,0.0400,5,0.0156,0.9648,0.0352,6.4609,0.9660,0.0111,0.9641,0.0359,6.6516,0.9654,0.0045,0.9841,0.0159,0.9247,0.9844
TD3,50,0.0400,5,0.0230,0.9914,0.0086,6.5939,0.9915,0.0114,0.9909,0.0091,7.0915,0.9910,0.0117,0.9979,0.0021,0.8046,0.9979
