protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness
DCF,50,0.04,100,0.0205,0.9666,0.0334,6.4722,0.9676,0.0111,0.9691,0.0309,6.8480,0.9700,0.0093,0.9317,0.0683,1.1334,0.9361
GDCF,50,0.0400,100,0.0201,0.9943,0.0057,6.7356,0.9943,0.0114,0.9939,0.0061,7.1007,0.9940,0.0087,1.0000,0.0000,1.0446,1.0000
TD3,50,0.0400,100,0.0185,0.9844,0.0156,6.6434,0.9846,0.0113,0.9845,0.0155,6.9396,0.9847,0.0072,0.9833,0.0167,1.0885,0.9836
DCF,50,0.0400,101,0.0164,0.9785,0.0215,6.5768,0.9789,0.0112,0.9780,0.0220,6.7730,0.9785,0.0052,0.9906,0.0094,1.4848,0.9907
GDCF,50,0.0400,101,0.0197,0.9770,0.0230,6.4761,0.9775,0.0112,0.9755,0.0245,6.8289,0.9761,0.0086,1.0000,0.0000,0.9694,1.0000
TD3,50,0.0400,101,0.0157,0.9693,0.0307,6.5232,0.9702,0.0111,0.9682,0.0318,6.7242,0.9692,0.0046,1.0000,0.0000,0.7589,1.0000
DCF,50,0.0400,102,0.0165,0.9773,0.0227,6.6128,0.9778,0.0112,0.9780,0.0220,6.8407,0.9785,0.0053,0.9604,0.0396,0.8857,0.9619
GDCF,50,0.0400,102,0.0130,0.9737,0.0263,6.6870,0.9744,0.0112,0.9734,0.0266,6.7669,0.9741,0.0018,1.0000,0.0000,0.8776,1.0000
TD3,50,0.0400,102,0.0155,0.9697,0.0303,6.5917,0.9706,0.0111,0.9688,0.0312,6.7825,0.9697,0.0044,1.0000,0.0000,0.8070,1.0000
DCF,50,0.0400,103,0.0206,0.9756,0.0244,6.5248,0.9762,0.0112,0.9754,0.0246,6.9165,0.9759,0.0094,0.9796,0.0204,0.9543,0.9800
GDCF,50,0.0400,103,0.0176,0.9649,0.0351,6.5229,0.9661,0.0111,0.9696,0.0304,6.7916,0.9705,0.0065,0.8775,0.1225,1.0168,0.8909
TD3,50,0.0400,103,0.0173,0.9795,0.0205,6.5884,0.9799,0.0112,0.9786,0.0214,6.8454,0.9790,0.0061,1.0000,0.0000,0.9098,1.0000
DCF,50,0.0400,104,0.0166,0.9866,0.0134,6.6087,0.9868,0.0113,0.9861,0.0139,6.8280,0.9863,0.0053,1.0000,0.0000,1.0520,1.0000
GDCF,50,0.0400,104,0.0139,0.9895,0.0105,6.7351,0.9896,0.0113,0.9893,0.0107,6.8434,0.9894,0.0025,1.0000,0.0000,0.9635,1.0000
TD3,50,0.0400,104,0.0190,0.9767,0.0233,6.5622,0.9772,0.0112,0.9754,0.0246,6.8970,0.9759,0.0078,1.0000,0.0000,0.8296,1.0000
DCF,50,0.0400,105,0.0220,0.9697,0.0303,6.4157,0.9706,0.0112,0.9738,0.0262,6.8596,0.9744,0.0109,0.9232,0.0768,0.9768,0.9287
GDCF,50,0.0400,105,0.0213,0.9702,0.0298,6.4332,0.9710,0.0111,0.9712,0.0288,6.8479,0.9721,0.0102,0.9564,0.0436,1.0235,0.9582
TD3,50,0.0400,105,0.0189,0.9768,0.0232,6.5277,0.9774,0.0112,0.9759,0.0241,6.8518,0.9765,0.0077,0.9937,0.0063,0.8871,0.9937
DCF,50,0.0400,106,0.0175,0.9816,0.0184,6.6476,0.9819,0.0112,0.9807,0.0193,6.9068,0.9811,0.0063,1.0000,0.0000,1.0866,1.0000
GDCF,50,0.0400,106,0.0205,0.9790,0.0210,6.5233,0.9794,0.0112,0.9786,0.0214,6.9045,0.9790,0.0093,0.9845,0.0155,1.0271,0.9847
TD3,50,0.0400,106,0.0157,0.9668,0.0332,6.5823,0.9679,0.0111,0.9661,0.0339,6.7699,0.9672,0.0046,0.9895,0.0105,1.1849,0.9896
DCF,50,0.0400,107,0.0211,0.9817,0.0183,6.5887,0.9820,0.0113,0.9812,0.0187,6.9816,0.9816,0.0098,0.9877,0.0123,1.2038,0.9878
GDCF,50,0.0400,107,0.0229,0.9819,0.0181,6.4994,0.9822,0.0113,0.9812,0.0187,6.9721,0.9816,0.0116,0.9896,0.0104,1.0309,0.9897
TD3,50,0.0400,107,0.0241,0.9902,0.0098,6.4905,0.9903,0.0113,0.9893,0.0107,7.0120,0.9894,0.0128,1.0000,0.0000,0.9565,1.0000
DCF,50,0.0400,108,0.0202,0.9799,0.0201,6.5009,0.9803,0.0112,0.9786,0.0214,6.8817,0.9790,0.0090,1.0000,0.0000,0.8457,1.0000
GDCF,50,0.0400,108,0.0178,0.9841,0.0159,6.6471,0.9844,0.0113,0.9834,0.0166,6.9137,0.9837,0.0065,1.0000,0.0000,1.1262,1.0000
TD3,50,0.0400,108,0.0173,0.9815,0.0185,6.5774,0.9819,0.0112,0.9807,0.0193,6.8375,0.9811,0.0060,1.0000,0.0000,0.7949,1.0000
DCF,50,0.0400,109,0.0168,0.9825,0.0175,6.6272,0.9828,0.0113,0.9818,0.0182,6.8626,0.9821,0.0056,1.0000,0.0000,0.9503,1.0000
GDCF,50,0.0400,109,0.0186,0.9785,0.0215,6.5458,0.9789,0.0112,0.9773,0.0227,6.8492,0.9778,0.0074,1.0000,0.0000,1.0829,1.0000
TD3,50,0.0400,109,0.0191,0.9890,0.0110,6.5460,0.9891,0.0114,0.9898,0.0102,6.8607,0.9899,0.0077,0.9753,0.0247,1.0265,0.9759
DCF,50,0.0400,110,0.0214,0.9880,0.0120,6.5943,0.9882,0.0113,0.9871,0.0129,7.0112,0.9873,0.0101,1.0000,0.0000,1.0131,1.0000
GDCF,50,0.0400,110,0.0191,0.9818,0.0182,6.6161,0.9821,0.0113,0.9812,0.0187,6.9439,0.9816,0.0078,0.9907,0.0093,0.9701,0.9908
TD3,50,0.0400,110,0.0151,0.9755,0.0245,6.6204,0.9761,0.0112,0.9748,0.0252,6.7860,0.9754,0.0039,1.0000,0.0000,0.9715,1.0000
DCF,50,0.0400,111,0.0246,0.9886,0.0114,6.5257,0.9887,0.0113,0.9882,0.0118,7.0629,0.9884,0.0133,0.9927,0.0073,1.0413,0.9927
GDCF,50,0.0400,111,0.0205,0.9884,0.0116,6.7238,0.9886,0.0113,0.9877,0.0123,7.0988,0.9878,0.0091,1.0000,0.0000,1.1775,1.0000
TD3,50,0.0400,111,0.0158,0.9844,0.0156,6.6648,0.9847,0.0113,0.9839,0.0161,6.8525,0.9842,0.0045,1.0000,0.0000,1.1043,1.0000
DCF,50,0.0400,112,0.0183,0.9744,0.0256,6.5323,0.9750,0.0112,0.9738,0.0262,6.8326,0.9744,0.0071,0.9864,0.0136,0.9055,0.9866
GDCF,50,0.0400,112,0.0201,0.9794,0.0206,6.5155,0.9798,0.0112,0.9780,0.0220,6.8755,0.9785,0.0089,1.0000,0.0000,1.1126,1.0000
TD3,50,0.0400,112,0.0188,0.9540,0.0460,6.3760,0.9560,0.0110,0.9582,0.0418,6.6983,0.9599,0.0078,0.8889,0.1111,0.9720,0.9000
DCF,50,0.0400,113,0.0216,0.9755,0.0245,6.4256,0.9761,0.0112,0.9755,0.0245,6.8613,0.9761,0.0104,0.9749,0.0251,0.8509,0.9755
GDCF,50,0.0400,113,0.0141,0.9753,0.0247,6.5680,0.9759,0.0112,0.9748,0.0252,6.6996,0.9754,0.0029,1.0000,0.0000,0.5819,1.0000
TD3,50,0.0400,113,0.0173,0.9841,0.0159,6.6756,0.9843,0.0113,0.9834,0.0166,6.9284,0.9837,0.0061,1.0000,0.0000,1.0621,1.0000
DCF,50,0.0400,114,0.0216,0.9604,0.0396,6.3699,0.9619,0.0110,0.9577,0.0423,6.7931,0.9594,0.0106,0.9954,0.0046,1.1524,0.9954
GDCF,50,0.0400,114,0.0129,0.9799,0.0201,6.7253,0.9803,0.0112,0.9796,0.0204,6.7953,0.9800,0.0017,1.0000,0.0000,1.2406,1.0000
TD3,50,0.0400,114,0.0217,0.9811,0.0189,6.4384,0.9814,0.0112,0.9796,0.0204,6.8612,0.9800,0.0105,1.0000,0.0000,1.0316,1.0000
