protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness
GDCF,50,0.06,400,0.0197,0.9803,0.0197,6.5431,0.9807,0.0112,0.9791,0.0209,6.8904,0.9795,0.0084,1.0000,0.0000,1.0241,1.0000
DCF,50,0.0600,400,0.0198,0.9894,0.0106,6.5398,0.9895,0.0113,0.9891,0.0109,6.8803,0.9892,0.0084,0.9942,0.0058,1.0719,0.9943
GDCF,50,0.0600,401,0.0152,0.9917,0.0083,6.8390,0.9917,0.0114,0.9914,0.0086,7.0022,0.9915,0.0038,1.0000,0.0000,1.0307,1.0000
DCF,50,0.0600,401,0.0174,0.9810,0.0190,6.6092,0.9814,0.0112,0.9802,0.0198,6.8734,0.9806,0.0062,1.0000,0.0000,0.8785,1.0000
GDCF,50,0.0600,402,0.0195,0.9818,0.0182,6.5460,0.9821,0.0112,0.9807,0.0193,6.8920,0.9811,0.0082,1.0000,0.0000,0.9087,1.0000
DCF,50,0.0600,402,0.0223,0.9599,0.0401,6.3445,0.9615,0.0110,0.9621,0.0379,6.7947,0.9635,0.0112,0.9348,0.0652,1.0601,0.9388
GDCF,50,0.0600,403,0.0202,0.9692,0.0308,6.3871,0.9701,0.0111,0.9675,0.0325,6.7570,0.9685,0.0091,0.9946,0.0054,0.9858,0.9947
DCF,50,0.0600,403,0.0227,0.9702,0.0298,6.3248,0.9710,0.0112,0.9727,0.0273,6.7868,0.9734,0.0115,0.9421,0.0579,0.9932,0.9453
GDCF,50,0.0600,404,0.0165,0.9826,0.0174,6.5237,0.9829,0.0113,0.9832,0.0168,6.7351,0.9835,0.0052,0.9680,0.0320,1.0329,0.9690
DCF,50,0.0600,404,0.0185,0.9903,0.0097,6.6323,0.9904,0.0114,0.9898,0.0102,6.9276,0.9899,0.0072,1.0000,0.0000,1.0454,1.0000
GDCF,50,0.0600,405,0.0165,0.9775,0.0225,6.5039,0.9780,0.0112,0.9766,0.0234,6.7227,0.9771,0.0053,1.0000,0.0000,0.9635,1.0000
DCF,50,0.0600,405,0.0199,0.9867,0.0133,6.6282,0.9869,0.0113,0.9861,0.0139,6.9786,0.9863,0.0086,0.9972,0.0028,1.1013,0.9972
GDCF,50,0.0600,406,0.0169,0.9912,0.0088,6.7694,0.9913,0.0114,0.9909,0.0091,7.0103,0.9910,0.0056,1.0000,0.0000,0.9069,1.0000
DCF,50,0.0600,406,0.0206,0.9799,0.0201,6.5410,0.9803,0.0112,0.9786,0.0214,6.9245,0.9790,0.0094,1.0000,0.0000,1.0683,1.0000
GDCF,50,0.0600,407,0.0170,0.9632,0.0368,6.5243,0.9645,0.0111,0.9655,0.0345,6.7572,0.9667,0.0059,0.9129,0.0871,1.2992,0.9199
DCF,50,0.0600,407,0.0133,0.9757,0.0243,6.6597,0.9763,0.0112,0.9754,0.0246,6.7426,0.9759,0.0021,1.0000,0.0000,1.3932,1.0000
GDCF,50,0.0600,408,0.0177,0.9620,0.0380,6.4572,0.9634,0.0110,0.9602,0.0398,6.7286,0.9617,0.0067,1.0000,0.0000,1.1115,1.0000
DCF,50,0.0600,408,0.0183,0.9832,0.0168,6.6497,0.9835,0.0113,0.9823,0.0177,6.9404,0.9826,0.0070,1.0000,0.0000,1.0596,1.0000
GDCF,50,0.0600,409,0.0189,0.9595,0.0405,6.4893,0.9611,0.0110,0.9571,0.0429,6.8200,0.9589,0.0080,1.0000,0.0000,1.0524,1.0000
DCF,50,0.0600,409,0.0188,0.9787,0.0213,6.5675,0.9791,0.0112,0.9775,0.0225,6.8783,0.9780,0.0076,1.0000,0.0000,1.0611,1.0000
GDCF,50,0.0600,410,0.0245,0.9925,0.0075,6.4804,0.9926,0.0114,0.9923,0.0077,6.9978,0.9924,0.0131,0.9944,0.0056,1.1054,0.9945
DCF,50,0.0600,410,0.0209,0.9701,0.0299,6.4475,0.9710,0.0112,0.9723,0.0277,6.8471,0.9731,0.0098,0.9412,0.0588,1.0079,0.9444
GDCF,50,0.0600,411,0.0213,0.9832,0.0168,6.5363,0.9835,0.0113,0.9823,0.0177,6.9368,0.9826,0.0101,0.9952,0.0048,1.1892,0.9952
DCF,50,0.0600,411,0.0287,0.9713,0.0287,6.2922,0.9721,0.0111,0.9716,0.0284,6.9574,0.9724,0.0176,0.9690,0.0310,1.2510,0.9699
GDCF,50,0.0600,412,0.0164,0.9893,0.0107,6.7149,0.9894,0.0113,0.9893,0.0107,6.9300,0.9894,0.0050,0.9904,0.0096,0.9311,0.9905
DCF,50,0.0600,412,0.0144,0.9696,0.0304,6.5745,0.9705,0.0111,0.9716,0.0284,6.7118,0.9724,0.0033,0.8940,0.1060,1.0420,0.9042
GDCF,50,0.0600,413,0.0211,0.9870,0.0130,6.6653,0.9872,0.0113,0.9861,0.0139,7.0745,0.9863,0.0098,1.0000,0.0000,1.0298,1.0000
DCF,50,0.0600,413,0.0192,0.9706,0.0294,6.4907,0.9714,0.0112,0.9727,0.0273,6.8217,0.9734,0.0081,0.9377,0.0623,1.0443,0.9413
GDCF,50,0.0600,414,0.0167,0.9928,0.0072,6.6628,0.9928,0.0114,0.9925,0.0075,6.8954,0.9926,0.0053,1.0000,0.0000,0.7328,1.0000
DCF,50,0.0600,414,0.0167,0.9935,0.0065,6.6743,0.9935,0.0114,0.9936,0.0064,6.8921,0.9936,0.0053,0.9908,0.0092,1.0369,0.9909
GDCF,50,0.0600,415,0.0197,0.9751,0.0249,6.4821,0.9757,0.0112,0.9743,0.0257,6.8335,0.9749,0.0086,0.9887,0.0113,1.0036,0.9888
DCF,50,0.0600,415,0.0139,0.9874,0.0126,6.7847,0.9875,0.0113,0.9871,0.0129,6.9033,0.9873,0.0026,1.0000,0.0000,0.6022,1.0000
GDCF,50,0.0600,416,0.0163,0.9758,0.0242,6.5735,0.9763,0.0112,0.9755,0.0245,6.7841,0.9761,0.0052,0.9814,0.0186,1.1203,0.9817
DCF,50,0.0600,416,0.0221,0.9947,0.0053,6.5956,0.9947,0.0114,0.9943,0.0057,7.0417,0.9943,0.0107,1.0000,0.0000,0.9246,1.0000
GDCF,50,0.0600,417,0.0188,0.9751,0.0249,6.4205,0.9757,0.0112,0.9745,0.0255,6.7317,0.9751,0.0076,0.9873,0.0127,0.9406,0.9874
DCF,50,0.0600,417,0.0219,0.9757,0.0243,6.3895,0.9762,0.0112,0.9738,0.0262,6.8179,0.9744,0.0107,1.0000,0.0000,1.0679,1.0000
GDCF,50,0.0600,418,0.0226,0.9863,0.0137,6.5774,0.9865,0.0113,0.9871,0.0129,7.0296,0.9873,0.0112,0.9766,0.0234,1.1441,0.9772
DCF,50,0.0600,418,0.0180,0.9745,0.0255,6.5099,0.9751,0.0112,0.9732,0.0268,6.7909,0.9739,0.0068,1.0000,0.0000,1.0409,1.0000
GDCF,50,0.0600,419,0.0156,0.9691,0.0309,6.4880,0.9700,0.0111,0.9680,0.0320,6.6774,0.9690,0.0045,1.0000,0.0000,0.9069,1.0000
DCF,50,0.0600,419,0.0229,0.9850,0.0150,6.4759,0.9852,0.0113,0.9839,0.0161,6.9551,0.9842,0.0117,0.9979,0.0021,0.9403,0.9979
