protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
TD3,50,0.02,900,0.0130,0.9417,0.0583,10.1863,0.9449,0.0094,0.9400,0.0600,10.4345,0.9434,0.0036,1.0000,0.0000,2.3553,1.0000,15.0000,1023.0000,3.0000
TD3,50,0.0400,900,0.0193,0.9481,0.0519,9.6203,0.9507,0.0095,0.9478,0.0522,10.2813,0.9503,0.0098,0.9524,0.0476,1.9463,0.9545,15.0000,1023.0000,3.0000
TD3,50,0.0600,900,0.0151,0.9174,0.0826,9.6418,0.9237,0.0092,0.9216,0.0784,10.0625,0.9273,0.0059,0.8451,0.1549,1.7248,0.8659,15.0000,1023.0000,3.0000
TD3,50,0.0200,901,0.0264,0.9399,0.0601,9.2449,0.9433,0.0094,0.9363,0.0637,10.2949,0.9401,0.0170,0.9639,0.0361,2.3034,0.9651,15.0000,1023.0000,3.0000
TD3,50,0.0400,901,0.0166,0.9469,0.0531,9.8148,0.9496,0.0095,0.9449,0.0551,10.2576,0.9478,0.0071,0.9797,0.0203,2.7445,0.9801,15.0000,1023.0000,3.0000
TD3,50,0.0600,901,0.0138,0.9125,0.0875,10.0004,0.9196,0.0091,0.9102,0.0898,10.3328,0.9176,0.0047,0.9697,0.0303,2.2803,0.9706,1023.0000,1024.0000,5.0000
TD3,50,0.0200,902,0.0207,0.9776,0.0224,9.6328,0.9781,0.0098,0.9755,0.0245,10.3549,0.9761,0.0110,1.0000,0.0000,1.9286,1.0000,15.0000,1023.0000,3.0000
TD3,50,0.0400,902,0.0174,0.9561,0.0439,9.6625,0.9579,0.0096,0.9559,0.0441,10.1886,0.9578,0.0078,0.9581,0.0419,1.9614,0.9598,15.0000,1023.0000,3.0000
TD3,50,0.0600,902,0.0172,0.9617,0.0383,9.7296,0.9631,0.0096,0.9608,0.0392,10.2586,0.9623,0.0075,0.9747,0.0253,1.6433,0.9753,15.0000,1023.0000,3.0000
TD3,50,0.0200,903,0.0148,0.9516,0.0484,9.7445,0.9538,0.0095,0.9510,0.0490,10.0966,0.9533,0.0052,0.9640,0.0360,2.0763,0.9652,15.0000,1023.0000,3.0000
TD3,50,0.0400,903,0.0138,0.9583,0.0417,9.6738,0.9600,0.0096,0.9596,0.0404,9.9493,0.9612,0.0042,0.9247,0.0753,2.1406,0.9300,15.0000,1023.0000,3.0000
TD3,50,0.0600,903,0.0097,0.9207,0.0793,9.9999,0.9265,0.0092,0.9204,0.0796,10.0306,0.9263,0.0004,1.0000,0.0000,2.3031,1.0000,15.0000,1023.0000,3.0000
TD3,50,0.0200,904,0.0167,0.9383,0.0617,9.4956,0.9419,0.0094,0.9380,0.0620,9.9994,0.9416,0.0073,0.9430,0.0570,1.7249,0.9461,15.0000,1023.0000,3.0000
TD3,50,0.0400,904,0.0157,0.9543,0.0457,10.0983,0.9563,0.0096,0.9559,0.0441,10.5375,0.9578,0.0061,0.9254,0.0746,1.8026,0.9306,15.0000,1023.0000,3.0000
TD3,50,0.0600,904,0.0208,0.9936,0.0064,9.9838,0.9937,0.0100,0.9931,0.0069,10.6831,0.9931,0.0109,1.0000,0.0000,2.3202,1.0000,15.0000,1023.0000,3.0000
