episode,timesteps,mean_reward,r_thr,r_coll,r_lat,r_cw,avg_cw_vo,avg_cw_be,pdr,collision_rate,alpha,actor_loss,critic_loss
1,100,-1.130677549402478,0.5049614119562296,-1.0879280299969565,-0.47033849734415606,-0.0773724340175953,168.76,227.0,0.27471464666869577,0.7252853533313042,1.0,0.0,0.0
2,200,-1.219247028990526,0.4544519783512704,-1.1042939716615898,-0.4797471666674985,-0.08965786901270775,192.24,266.36,0.2638040188922733,0.7361959811077265,1.0,0.0,0.0
3,300,-1.2729852269996467,0.3735777639719418,-1.079006768944374,-0.4701798779411929,-0.0973763440860215,196.68,301.4,0.28066215403708406,0.7193378459629158,1.0,0.0,0.0
4,400,-0.7478207688360916,0.8980658192364978,-1.0847529459795673,-0.4705842774791414,-0.09054936461388076,171.2,291.96,0.2768313693469551,0.7231686306530449,1.0,0.0,0.0
5,500,-1.408519517755177,0.20471669018282398,-1.0597261461072265,-0.4644074225345867,-0.0891026392961877,174.84,280.92,0.29351590259518234,0.7064840974048177,1.0,0.0,0.0
6,600,-0.9912376927964796,0.6571864811506578,-1.0885180329281123,-0.4733059455156035,-0.08660019550342132,183.32,259.64,0.2743213113812584,0.7256786886187414,1.0,0.0,0.0
7,700,-1.233659307580907,0.38916564049069924,-1.0707764366433614,-0.46735642931680793,-0.08469208211143694,159.96,273.24,0.2861490422377589,0.713850957762241,1.0,0.0,0.0
8,800,-1.2973054053662938,0.3966005377998858,-1.1244843209458175,-0.4862857473425518,-0.08313587487781036,216.32,208.92,0.2503437860361217,0.7496562139638785,1.0,0.0,0.0
9,900,-0.6855619601363894,0.9120137377095038,-1.0483629046107852,-0.45411210897313353,-0.09510068426197459,226.96,259.48,0.30109139692614323,0.6989086030738568,1.0,0.0,0.0
10,1000,-1.0228320306795353,0.6262755257119448,-1.0864561900049907,-0.47181265670906974,-0.09083870967741937,180.68,283.96,0.27569587333000617,0.7243041266699939,1.0,0.0,0.0
11,1100,-0.33015808957858866,1.0896831141197492,-0.9087173566156435,-0.39379051374936075,-0.11733333333333336,266.44,333.72,0.39418842892290434,0.6058115710770956,0.9709518653333069,-4.762360572814941,0.8304181694984436
12,1200,-0.684078197343447,0.5281356367687708,-0.7511988575018491,-0.32589865207468927,-0.1351163245356794,327.96,363.16,0.499200761665434,0.5007992383345661,0.9426813714167411,-5.246071815490723,0.5955585241317749
13,1300,-1.1146029904925547,0.22237063445979557,-0.8489804820561119,-0.3677898193380761,-0.12020332355816227,276.16,338.68,0.43401301196259207,0.565986988037408,0.9149700363524558,-5.781534194946289,0.3565554618835449
14,1400,-0.2032025169632843,1.1151470958267944,-0.8360178566230785,-0.36125257728136995,-0.12107917888563051,326.72,292.6,0.442654762251281,0.557345237748719,0.888033943467729,-6.298659801483154,0.4774411916732788
15,1500,-0.9828349907929433,0.315946376781091,-0.8211347802150335,-0.35568373300904965,-0.12196285434995112,277.8,346.04,0.4525768131899776,0.5474231868100223,0.861958446301051,-6.769282341003418,0.33305230736732483
16,1600,-0.9804947175137616,0.2854592424083681,-0.8008799780574855,-0.34523038460169225,-0.1198435972629521,300.08,312.92,0.46608001462834314,0.5339199853716569,0.8366509897597864,-7.224728107452393,0.6077290177345276
17,1700,-1.1345406412891317,0.2577991747536974,-0.8959569979114577,-0.38643169398669913,-0.10995112414467256,253.96,308.44,0.40269533472569496,0.597304665274305,0.8121293246858686,-7.623723983764648,0.44477924704551697
